frequency_kHz,V0_mV,gain
0.5,0.624,2.2819528250137138
1.0,3.69,13.49424026330225
1.5,6.397,23.39367343207168
2.0,5.519,20.18284878405559
3.0,5.755,21.045895044797955
4.0,12.47,45.60248674346316
5.0,29.04,106.19857377948438
6.0,58.93,215.50557688791372
7.0,97.59,356.88425671969287
8.0,140.7,514.536478332419
9.0,179.9,657.8899250319986
10.0,215.6,788.443956847687
11.0,243.6,890.8392759188152
12.0,268.9,983.3607606509416
13.0,289.2,1057.5973669775096
14.0,304.5,1113.5490948985191
15.0,316.9,1158.8955933443042
16.0,325.7,1191.0769793380875
17.0,332.8,1217.0415066739808
18.0,337.6,1234.5949899433172
19.0,334.2,1222.161272627537
21.0,349.2,1277.015907844213
22.0,350.9,1283.2327665021028
23.0,352.0,1287.2554397513259
24.0,353.8,1293.837995977327
25.0,354.8,1297.4949716584385
26.0,355.5,1300.0548546352168
27.0,357.7,1308.1002011336625
28.0,358.0,1309.197293837996
29.0,358.4,1310.6600841104407
30.0,360.5,1318.3397330407754
31.0,361.0,1320.1682208813313
32.0,362.5,1325.6536844029988
33.0,363.1,1327.847869811666
34.0,363.4,1328.9449625159994
35.0,364.2,1331.8705430608888
36.0,364.2,1331.8705430608888
37.0,364.5,1332.9676357652222
38.0,365.2,1335.5275187420004
39.0,365.5,1336.624611446334
40.0,366.1,1338.8187968550012
41.0,365.7,1337.3560065825563
42.0,366.4,1339.9158895593346
43.0,366.9,1341.7443773998903
44.0,367.2,1342.8414701042238
45.0,368.1,1346.1327482172246
46.0,368.6,1347.9612360577805
47.0,369.0,1349.4240263302252
48.0,369.4,1350.8868166026696
49.0,367.9,1345.401353081002
50.0,367.3,1343.2071676723351
51.0,366.6,1340.647284695557
52.0,365.4,1336.2589138782228
53.0,365.9,1338.0874017187787
54.0,365.0,1334.7961236057781
55.0,364.5,1332.9676357652222
56.0,364.1,1331.5048454927778
57.0,363.8,1330.4077527884442
58.0,362.5,1325.6536844029988
59.0,360.5,1318.3397330407754
60.0,359.5,1314.6827573596638
61.0,358.8,1312.1228743828856
62.0,358.0,1309.197293837996
63.0,356.6,1304.0775278844399
64.0,355.0,1298.2263667946609
65.0,353.7,1293.4722984092157
66.0,351.8,1286.5240446151035
67.0,350.5,1281.7699762296581
68.0,348.7,1275.187420003657
69.0,346.0,1265.3135856646554
70.0,344.4,1259.4624245748766
71.0,342.3,1251.7827756445422
72.0,341.2,1247.760102395319
73.0,339.2,1240.4461510330957
74.0,335.6,1227.2810385810938
75.0,331.4,1211.9217407204242
76.0,330.7,1209.3618577436462
77.0,328.8,1202.4136039495338
78.0,327.8,1198.7566282684222
79.0,325.0,1188.5170963613093
80.0,321.5,1175.7176814774184
85.0,311.3,1138.4165295300788
90.0,298.6,1091.97293837996
95.0,285.2,1042.9694642530628
100.0,274.5,1003.8398244651675
105.0,265.5,970.9270433351619
110.0,253.3,926.3119400255989
115.0,241.1,881.6968367160359
120.0,229.3,838.5445236789177
125.0,219.7,803.4375571402451
130.0,208.7,763.2108246480161
135.0,198.2,724.8125799963431
140.0,187.6,686.0486377765588
145.0,176.7,646.187602852441
150.0,165.0,603.400987383434
