lag_frames,lag_s,msd_um2,displacement_count
1,0.5,0.3723855061759197,3098
2,1.0,0.8936618693005299,3042
3,1.5,1.4169991959384631,2989
4,2.0,1.9497624128526996,2938
5,2.5,2.4721301797840503,2888
6,3.0,3.0011988986934197,2821
7,3.5,3.5578283367891146,2730
8,4.0,4.103125946346928,2623
9,4.5,4.63410019574111,2570
10,5.0,5.10574217618551,2463
11,5.5,5.652071301492324,2413
12,6.0,6.183630903733026,2339
13,6.5,6.627714893457469,2289
14,7.0,7.057722044327525,2236
15,7.5,7.565551917312359,2214
16,8.0,8.145352171585337,2159
17,8.5,8.552439430413518,2108
18,9.0,9.296916844383675,2022
19,9.5,9.88939055657267,2005
20,10.0,10.480464628400009,1988
21,10.5,11.093776946378108,1971
22,11.0,11.737496124942032,1954
23,11.5,12.378158791461681,1937
24,12.0,13.031770620547627,1920
25,12.5,13.672356009761218,1904
26,13.0,14.316175636744807,1888
27,13.5,14.980492874144627,1872
28,14.0,15.614104153225856,1856
29,14.5,16.212077901369426,1840
30,15.0,16.40332393803712,1762
31,15.5,16.967940380568848,1747
32,16.0,17.52359043338546,1732
33,16.5,18.075230039437827,1717
34,17.0,18.634591620373325,1702
35,17.5,19.202559296644214,1687
36,18.0,19.80184328259773,1672
37,18.5,20.430180064033493,1657
38,19.0,21.10042911894677,1642
39,19.5,21.766204554176262,1628
40,20.0,22.445871742015218,1614
41,20.5,23.087673540085706,1600
42,21.0,23.732811619417234,1586
43,21.5,24.81582013049995,1489
44,22.0,25.512123634381922,1476
45,22.5,25.227347983541367,1391
46,23.0,25.873684023104236,1379
47,23.5,26.50357707230499,1367
48,24.0,27.117052998423876,1355
49,24.5,28.533684123568996,1243
50,25.0,29.11055267740017,1232
51,25.5,28.751705495191427,1152
52,26.0,29.310257174962704,1142
53,26.5,29.84380640832747,1132
54,27.0,31.98747704347171,1014
55,27.5,32.563652377163365,1005
56,28.0,33.23936336828848,920
