lag_frames,lag_s,msd_um2,displacement_count
1,0.0333333333,0.06947667164536765,18516
2,0.0666666666,0.10792993987542956,17694
3,0.0999999999,0.14032440731183476,16985
4,0.1333333332,0.17056384854991338,16345
5,0.16666666649999998,0.19922235055665805,15755
6,0.1999999998,0.22644597053325793,14950
7,0.23333333309999998,0.24981347759146763,13657
8,0.2666666664,0.26752283854709563,12684
9,0.29999999969999996,0.29003696637866794,11827
10,0.33333333299999995,0.3138763538775526,11068
11,0.36666666629999994,0.3391477430990979,10517
12,0.3999999996,0.36713309821287765,9909
13,0.4333333329,0.39731581693030665,9427
14,0.46666666619999997,0.42334860817571585,9031
15,0.49999999949999996,0.448949121110299,8699
16,0.5333333328,0.4787561194154,8514
17,0.5666666660999999,0.5070233307018789,8131
18,0.5999999993999999,0.533020755367844,7878
19,0.6333333326999999,0.5633304602837159,7639
20,0.6666666659999999,0.589499649623757,7398
21,0.6999999992999999,0.6169416092118424,7186
22,0.7333333325999999,0.6491704100968426,7082
23,0.7666666658999999,0.6788912100583121,6954
24,0.7999999992,0.7007896470664764,6799
25,0.8333333325,0.7318367865409209,6713
26,0.8666666658,0.7599011698006732,6552
27,0.8999999991,0.7934777154230039,6445
28,0.9333333323999999,0.8245169676633163,6336
29,0.9666666656999999,0.8525648415846566,6192
30,0.9999999989999999,0.8826666213091775,6044
31,1.0333333322999998,0.911430705954471,5935
32,1.0666666656,0.9517571942901697,5825
33,1.0999999989,0.9844828087417609,5713
34,1.1333333321999999,1.018692464831318,5669
35,1.1666666655,1.053402576538628,5625
36,1.1999999987999999,1.0873218906057405,5581
37,1.2333333321,1.1188286383670623,5396
38,1.2666666653999998,1.1541611567999766,5354
39,1.2999999987,1.1995336839989654,5096
40,1.3333333319999998,1.2338729566855215,5057
41,1.3666666653,1.2798655645122687,4856
42,1.3999999985999998,1.3256706019050943,4733
43,1.4333333319,1.3615185627492106,4697
44,1.4666666651999998,1.4153465329250126,4573
45,1.4999999984999999,1.4536269342223977,4538
46,1.5333333317999998,1.4830803921815714,4411
47,1.5666666650999999,1.5215373291612604,4377
48,1.5999999984,1.560250165198378,4343
49,1.6333333316999998,1.5782775626660217,4211
50,1.666666665,1.644619067452884,3779
51,1.6999999982999998,1.7574604228988044,3440
52,1.7333333316,1.7996808665168422,3414
53,1.7666666648999998,1.9122904182716252,3066
54,1.7999999982,1.9576643359476105,2831
55,1.8333333314999998,2.0524738038878536,2270
56,1.8666666647999999,2.1047263910269356,2254
57,1.8999999980999998,2.2161600685843283,2128
58,1.9333333313999999,2.2420830962961285,1997
59,1.9666666646999997,2.1965892325011986,1865
60,1.9999999979999998,2.070002461674752,1611
61,2.0333333312999997,2.1530215782834534,1355
62,2.0666666645999996,1.9992368580800959,1232
63,2.0999999979,2.099145677548358,1097
64,2.1333333312,2.1431793333149747,1090
65,2.1666666644999997,2.3127415467684083,838
66,2.1999999978,2.3603986604729417,833
67,2.2333333311,2.409896103031901,828
68,2.2666666643999998,2.4604796213921376,823
69,2.2999999976999996,2.8279527461347773,678
70,2.333333331,2.888240534306771,674
71,2.3666666643,2.951820383568639,670
72,2.3999999975999997,3.51898416698957,521
73,2.4333333308999996,3.587089198987769,518
74,2.4666666642,3.6561603762715165,515
75,2.4999999975,3.72865748097788,512
76,2.5333333307999997,3.800275108043308,509
77,2.5666666640999996,3.8723933870465026,506
78,2.5999999974,3.9474278574159585,503
79,2.6333333306999998,4.02375563498738,500
80,2.6666666639999996,4.102440902265719,497
81,2.6999999973,5.249389085380332,340
82,2.7333333306,5.338876817313508,338
83,2.7666666638999997,3.5642844422111972,170
84,2.7999999971999996,3.5910334358590035,169
