LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID160834,160834,0,0.3312653601169586,576.800015359412,1470.983705824968,0.0,0.0,0,11.5,1,,38.19631901840491,37.0,21.0,56.0,18678.0,6.626009569571375,0.14788563318232675,1.4853432044370325
ID160835,160835,1,1.198499083518982,732.0840576814774,1529.2877445028955,0.0,0.0,0,11.5,1,,53.97955010224949,45.0,12.0,148.0,26396.0,28.656522857042397,0.37187624448218903,1.0212198885346415
ID160832,160832,,0.1050155982375145,745.4838600636804,1418.4451915329753,0.0,0.0,0,11.5,1,,30.231083844580777,31.0,14.0,44.0,14783.0,4.7449039802603155,0.04509932144749248,0.5498810167546193
ID160833,160833,,0.11179760843515396,725.2084036390727,1437.085686084537,0.0,0.0,0,11.5,1,,28.130879345603272,29.0,11.0,52.0,13756.0,6.4879496941147465,0.03850257776086309,0.3215052415249595
ID160838,160838,2,0.5455094575881958,2937.2194089777845,1673.5109633392867,0.0,0.0,0,11.5,1,,45.65235173824131,45.0,20.0,75.0,22324.0,10.284767085703697,0.21864831300473256,1.5928190044011836
ID160839,160839,3,0.1656055748462677,553.877431240918,1801.5980543869505,0.0,0.0,0,11.5,1,,35.374233128834355,35.0,12.0,55.0,17298.0,6.323018600006761,0.06332616506901682,0.6663605193408957
ID160836,160836,4,1.2645734548568726,2646.620557650635,1545.5488084325507,0.0,0.0,0,11.5,1,,55.41513292433538,45.0,11.0,166.0,27098.0,33.331381610031166,0.3579672775370558,0.8765144554821485
ID160837,160837,5,0.2133081555366516,1083.5101775681894,1586.0240828316607,0.0,0.0,0,11.5,1,,38.965235173824134,39.0,22.0,59.0,19054.0,5.69663565472595,0.0929146618591361,1.163019113560039
ID160842,160842,6,0.12458586692810059,757.4522455296271,1910.1186664371623,0.0,0.0,0,11.5,1,,46.24539877300614,46.0,34.0,71.0,22614.0,5.414490301011956,0.035471704276701765,0.5851736524667692
ID160843,160843,7,0.12800690531730652,0.0,1971.0,0.0,0.0,0,11.5,1,,30.678936605316974,38.0,0.0,60.0,15002.0,18.379792953970092,0.13854266127037773,0.4062224305241613
ID160840,160840,8,0.10435351729393005,506.0606511998351,1804.7569664079133,0.0,0.0,0,11.5,1,,34.09406952965235,34.0,18.0,47.0,16672.0,4.929351868087533,0.04587902440279232,0.6068086166771128
ID160841,160841,9,0.11354070156812668,472.8426929859238,1815.0841240188024,0.0,0.0,0,11.5,1,,32.3640081799591,32.0,15.0,55.0,15826.0,6.260598643658772,0.03629811252529922,0.3621393940925606
ID160846,160846,10,0.12997791171073914,1453.0599502628586,1999.7444242535944,0.0,0.0,0,11.5,1,,35.42944785276074,35.0,16.0,55.0,17325.0,5.863162289291867,0.045788512847962134,0.5291455348438546
ID160847,160847,11,0.14305971562862396,226.95376625558808,2023.6642302934201,0.0,0.0,0,11.5,1,,38.241308793456035,37.0,22.0,55.0,18700.0,6.211030240161867,0.04229193941117328,0.49965164495833864
ID160844,160844,12,0.19797563552856445,2312.3371661557835,1985.7657381236424,0.0,0.0,0,11.5,1,,35.807770961145195,36.0,10.0,55.0,17510.0,7.447346660073127,0.08071831804922829,0.7182329146039833
ID160845,160845,,0.10550447553396225,212.30798862021345,1991.1525438158544,0.0,0.0,0,11.5,1,,36.969325153374236,37.0,20.0,51.0,18078.0,5.738234555517975,0.027755238084590968,0.3479753499871077
ID160850,160850,13,0.16820746660232544,1674.0,2047.0,0.0,0.0,0,11.5,1,,27.934560327198366,35.0,0.0,59.0,13660.0,16.80419455896511,0.17539716560253904,0.49612609056235807
ID160848,160848,14,1.3822587728500366,929.7002108610139,2024.8901400945804,0.0,0.0,0,11.5,1,,64.43558282208589,51.0,17.0,181.0,31509.0,35.08970415699748,0.35017460249029003,0.9525126672653774
ID160849,160849,15,0.574811577796936,0.0,2047.0,0.0,0.0,0,11.5,1,,49.93047034764826,60.0,0.0,137.0,24416.0,45.86083805597488,0.3099426721544164,0.515208179479732
ID160811,160811,16,0.1405627727508545,1034.0,0.0,0.0,0.0,0,11.5,1,,21.56441717791411,27.0,0.0,44.0,10545.0,12.96371203123875,0.18902305000676148,0.5288869340123924
ID160814,160814,17,0.1880643516778946,1898.6104004121164,169.19530615246606,0.0,0.0,0,11.5,1,,33.263803680981596,32.0,10.0,55.0,16266.0,6.949314349530673,0.08758458360887976,0.7709470908224813
ID160815,160815,18,0.2252904623746872,2538.203900881288,258.93128541103505,0.0,0.0,0,11.5,1,,35.66257668711656,36.0,7.0,58.0,17439.0,7.766748844231643,0.09498217971439298,0.7965967556185437
ID160812,160812,19,0.28167277574539185,583.6653148775233,59.79149341072666,0.0,0.0,0,11.5,1,,36.466257668711656,36.0,22.0,56.0,17832.0,5.931593179457405,0.14251323587711623,1.5337119310868605
ID160813,160813,20,0.20515888929367065,1885.07803999104,158.6259208344005,0.0,0.0,0,11.5,1,,33.5521472392638,33.0,10.0,55.0,16407.0,6.60025462831577,0.0885982097891531,0.8274598977320428
ID160818,160818,21,0.14113153517246246,634.2009940548757,547.7506158058922,0.0,0.0,0,11.5,1,,27.789366053169733,28.0,8.0,43.0,13589.0,5.649115828009848,0.07294773432604201,0.6689003087397534
