–Ú∫≈	π‚«ø(%)	P(deg)	A(deg)	
0	21.713	82.999	119.997	
1	20.535	82.999	120.194	
2	19.241	82.999	120.391	
3	17.930	82.999	120.588	
4	16.768	82.999	120.785	
5	15.681	82.999	120.981	
6	14.676	82.999	121.178	
7	13.688	82.999	121.375	
8	12.754	82.999	121.572	
9	11.904	82.999	121.769	
10	11.122	82.999	121.966	
11	10.336	82.999	122.163	
12	9.642	82.999	122.360	
13	8.964	82.999	122.556	
14	8.451	82.999	122.753	
15	7.964	82.999	122.950	
16	7.622	82.999	123.147	
17	7.392	82.999	123.344	
18	7.274	82.999	123.541	
19	7.242	82.999	123.738	
20	7.303	82.999	123.935	
21	7.427	82.999	124.131	
22	7.586	82.999	124.328	
23	7.832	82.999	124.525	
24	8.053	82.999	124.722	
25	8.307	82.999	124.919	
26	8.666	82.999	125.116	
27	9.043	82.999	125.313	
28	9.631	82.999	125.510	
29	10.202	82.999	125.706	
30	10.862	82.999	125.903	
31	11.677	82.999	126.100	
32	12.522	82.999	126.297	
33	13.432	82.999	126.494	
34	14.515	82.999	126.691	
35	15.596	82.999	126.888	
36	16.875	82.999	127.085	
37	18.240	82.999	127.281	
38	19.578	82.999	127.478	
39	20.858	82.999	127.675	
40	22.326	82.999	127.872	
41	23.786	82.999	128.069	
42	25.089	82.999	128.266	
43	26.719	82.999	128.463	
44	28.369	82.999	128.660	
45	30.113	82.999	128.856	
46	31.908	82.999	129.053	
